[15:33:27] [info] HAZEL: Creating window Hazel Editor (1600, 900)
[15:33:27] [info] HAZEL: OpenGL Info:
[15:33:27] [info] HAZEL:   Vendor: NVIDIA Corporation
[15:33:27] [info] HAZEL:   Renderer: NVIDIA GeForce RTX 3060 Laptop GPU/PCIe/SSE2
[15:33:27] [info] HAZEL:   Version: 4.6.0 NVIDIA 536.67
[15:33:27] [warning] HAZEL: Pixel data = -1
[15:33:27] [warning] HAZEL: Pixel data = -1
[15:33:27] [warning] HAZEL: Pixel data = -1
[15:33:27] [warning] HAZEL: Pixel data = -1
[15:33:27] [warning] HAZEL: Pixel data = -1
[15:33:27] [warning] HAZEL: Pixel data = -1
[15:33:27] [warning] HAZEL: Pixel data = -1
[15:33:27] [warning] HAZEL: Pixel data = -1
[15:33:27] [warning] HAZEL: Pixel data = -1
[15:33:27] [warning] HAZEL: Pixel data = -1
[15:33:27] [warning] HAZEL: Pixel data = -1
[15:33:27] [warning] HAZEL: Pixel data = -1
[15:33:27] [warning] HAZEL: Pixel data = -1
[15:33:27] [warning] HAZEL: Pixel data = -1
[15:33:27] [warning] HAZEL: Pixel data = -1
[15:33:27] [warning] HAZEL: Pixel data = -1
[15:33:27] [warning] HAZEL: Pixel data = -1
[15:33:27] [warning] HAZEL: Pixel data = -1
[15:33:27] [warning] HAZEL: Pixel data = -1
[15:33:27] [warning] HAZEL: Pixel data = -1
[15:33:27] [warning] HAZEL: Pixel data = -1
[15:33:27] [warning] HAZEL: Pixel data = -1
[15:33:27] [warning] HAZEL: Pixel data = -1
[15:33:27] [warning] HAZEL: Pixel data = -1
[15:33:27] [warning] HAZEL: Pixel data = -1
[15:33:27] [warning] HAZEL: Pixel data = -1
[15:33:27] [warning] HAZEL: Pixel data = -1
[15:33:27] [warning] HAZEL: Pixel data = -1
[15:33:27] [warning] HAZEL: Pixel data = -1
[15:33:28] [warning] HAZEL: Pixel data = -1
[15:33:28] [warning] HAZEL: Pixel data = -1
[15:33:28] [warning] HAZEL: Pixel data = -1
[15:33:28] [warning] HAZEL: Pixel data = -1
[15:33:28] [warning] HAZEL: Pixel data = -1
[15:33:28] [warning] HAZEL: Pixel data = -1
[15:33:28] [warning] HAZEL: Pixel data = -1
[15:33:28] [warning] HAZEL: Pixel data = -1
[15:33:28] [warning] HAZEL: Pixel data = -1
[15:33:28] [warning] HAZEL: Pixel data = -1
[15:33:28] [warning] HAZEL: Pixel data = -1
[15:33:28] [warning] HAZEL: Pixel data = -1
[15:33:28] [warning] HAZEL: Pixel data = -1
